Board Name                                         FQBN
4D Systems gen4-ESP32 16MB Modules (ESP32-S3R8n16) esp32:esp32:gen4-ESP32-S3R8n16
AI Thinker ESP32-CAM                               esp32:esp32:esp32cam
ALKS ESP32                                         esp32:esp32:alksesp32
ATD1.47-S3                                         esp32:esp32:atd147_s3
ATD3.5-S3                                          esp32:esp32:atd35s3
ATMegaZero ESP32-S2                                esp32:esp32:atmegazero_esp32s2
Adafruit ESP32 Feather                             esp32:esp32:featheresp32
Adafruit Feather ESP32 V2                          esp32:esp32:adafruit_feather_esp32_v2
Adafruit Feather ESP32-C6                          esp32:esp32:adafruit_feather_esp32c6
Adafruit Feather ESP32-S2                          esp32:esp32:adafruit_feather_esp32s2
Adafruit Feather ESP32-S2 Reverse TFT              esp32:esp32:adafruit_feather_esp32s2_reversetft
Adafruit Feather ESP32-S2 TFT                      esp32:esp32:adafruit_feather_esp32s2_tft
Adafruit Feather ESP32-S3 2MB PSRAM                esp32:esp32:adafruit_feather_esp32s3
Adafruit Feather ESP32-S3 No PSRAM                 esp32:esp32:adafruit_feather_esp32s3_nopsram
Adafruit Feather ESP32-S3 Reverse TFT              esp32:esp32:adafruit_feather_esp32s3_reversetft
Adafruit Feather ESP32-S3 TFT                      esp32:esp32:adafruit_feather_esp32s3_tft
Adafruit FunHouse                                  esp32:esp32:adafruit_funhouse_esp32s2
Adafruit ItsyBitsy ESP32                           esp32:esp32:adafruit_itsybitsy_esp32
Adafruit MagTag 2.9"                               esp32:esp32:adafruit_magtag29_esp32s2
Adafruit MatrixPortal ESP32-S3                     esp32:esp32:adafruit_matrixportal_esp32s3
Adafruit Metro ESP32-S2                            esp32:esp32:adafruit_metro_esp32s2
Adafruit Metro ESP32-S3                            esp32:esp32:adafruit_metro_esp32s3
Adafruit QT Py ESP32                               esp32:esp32:adafruit_qtpy_esp32_pico
Adafruit QT Py ESP32-C3                            esp32:esp32:adafruit_qtpy_esp32c3
Adafruit QT Py ESP32-S2                            esp32:esp32:adafruit_qtpy_esp32s2
Adafruit QT Py ESP32-S3 (4M Flash 2M PSRAM)        esp32:esp32:adafruit_qtpy_esp32s3_n4r2
Adafruit QT Py ESP32-S3 No PSRAM                   esp32:esp32:adafruit_qtpy_esp32s3_nopsram
Adafruit Qualia ESP32-S3 RGB666                    esp32:esp32:adafruit_qualia_s3_rgb666
Adafruit Sparkle Motion (ESP32)                    esp32:esp32:sparklemotion
Adafruit Sparkle Motion Mini (ESP32)               esp32:esp32:sparklemotionmini
Adafruit pyCamera S3                               esp32:esp32:adafruit_camera_esp32s3
AirM2M_CORE_ESP32C3                                esp32:esp32:AirM2M_CORE_ESP32C3
Alfredo NoU3                                       esp32:esp32:alfredo-nou3
Arduino Nano ESP32                                 esp32:esp32:nano_nora
AutosportLabs ESP-CAN-X2                           esp32:esp32:aslcanx2
Aventen S3 Sync                                    esp32:esp32:aventen_s3_sync
BPI-BIT                                            esp32:esp32:bpi-bit
BPI-Leaf-S3                                        esp32:esp32:bpi_leaf_s3
Bee Data Logger                                    esp32:esp32:Bee_Data_Logger
Bee Motion                                         esp32:esp32:Bee_Motion
Bee Motion Mini                                    esp32:esp32:Bee_Motion_Mini
Bee Motion S3                                      esp32:esp32:Bee_Motion_S3
Bee S3                                             esp32:esp32:Bee_S3
BharatPi A7672S 4G Module                          esp32:esp32:BharatPi-A7672S-4G
BharatPi LoRa Module                               esp32:esp32:BharatPi-LoRa
BharatPi Node Wifi Module                          esp32:esp32:BharatPi-Node-Wifi
CNRS AW2ETH                                        esp32:esp32:aw2eth
CircuitART Zero S3                                 esp32:esp32:circuitart_zero_s3
CodeCell                                           esp32:esp32:codecell
Connaxio's Espoir                                  esp32:esp32:connaxio_espoir
Crabik Slot ESP32-S3                               esp32:esp32:crabik_slot_esp32_s3
Cytron Maker Feather AIoT S3                       esp32:esp32:cytron_maker_feather_aiot_s3
D-duino-32                                         esp32:esp32:d-duino-32
DFRobot Beetle ESP32-C3                            esp32:esp32:dfrobot_beetle_esp32c3
DFRobot Beetle ESP32-C6                            esp32:esp32:dfrobot_beetle_esp32c6
DFRobot FireBeetle 2 ESP32-C6                      esp32:esp32:dfrobot_firebeetle2_esp32c6
DFRobot Firebeetle 2 ESP32-S3                      esp32:esp32:dfrobot_firebeetle2_esp32s3
DFRobot Romeo ESP32-S3                             esp32:esp32:dfrobot_romeo_esp32s3
DOIT ESP32 DEVKIT V1                               esp32:esp32:esp32doit-devkit-v1
DOIT ESPduino32                                    esp32:esp32:esp32doit-espduino
DPTechnics Walter                                  esp32:esp32:walter
DPU ESP32                                          esp32:esp32:dpu_esp32
Deneyap Kart                                       esp32:esp32:deneyapkart
Deneyap Kart 1A                                    esp32:esp32:deneyapkart1A
Deneyap Kart 1A v2                                 esp32:esp32:deneyapkart1Av2
Deneyap Kart G                                     esp32:esp32:deneyapkartg
Deneyap Mini                                       esp32:esp32:deneyapmini
Deneyap Mini v2                                    esp32:esp32:deneyapminiv2
Denky                                              esp32:esp32:ch_denky
Department of Alchemy MiniMain ESP32-S2            esp32:esp32:department_of_alchemy_minimain_esp32s2
Dongsen Tech Pocket 32                             esp32:esp32:pocket_32
ESP-C3-M1-I-Kit                                    esp32:esp32:esp32c3m1IKit
ESP32 Dev Module                                   esp32:esp32:esp32
ESP32 FM DevKit                                    esp32:esp32:fm-devkit
ESP32 PICO-D4                                      esp32:esp32:pico32
ESP32 Wrover Kit (all versions)                    esp32:esp32:esp32wroverkit
ESP32 Wrover Module                                esp32:esp32:esp32wrover
ESP32-2432S028R CYD                                esp32:esp32:jczn_2432s028r
ESP32-S3 PowerFeather                              esp32:esp32:esp32s3_powerfeather
ESP32-S3-Box                                       esp32:esp32:esp32s3box
ESP32-S3-USB-OTG                                   esp32:esp32:esp32s3usbotg
ESP32-WROOM-DA Module                              esp32:esp32:esp32da
ESP32C3 Dev Module                                 esp32:esp32:esp32c3
ESP32C6 Dev Module                                 esp32:esp32:esp32c6
ESP32H2 Dev Module                                 esp32:esp32:esp32h2
ESP32P4 Dev Module                                 esp32:esp32:esp32p4
ESP32S2 Dev Module                                 esp32:esp32:esp32s2
ESP32S2 Native USB                                 esp32:esp32:esp32s2usb
ESP32S3 CAM LCD                                    esp32:esp32:esp32s3camlcd
ESP32S3 Dev Module                                 esp32:esp32:esp32s3
ESP32S3 Dev Module Octal (WROOM2)                  esp32:esp32:esp32s3-octal
ESP32vn IoT Uno                                    esp32:esp32:esp32vn-iot-uno
ESPea32                                            esp32:esp32:espea32
ESPectro32                                         esp32:esp32:espectro32
ET-Board                                           esp32:esp32:ET-Board
Edgebox-ESP-100                                    esp32:esp32:Edgebox-ESP-100
Elecrow CrowPanel 7.0P                             esp32:esp32:elecrow_crowpanel_7
Electronic SweetPeas - ESP320                      esp32:esp32:esp320
FireBeetle 2 ESP32-E                               esp32:esp32:dfrobot_firebeetle2_esp32e
FireBeetle-ESP32                                   esp32:esp32:firebeetle32
Franzininho WiFi                                   esp32:esp32:franzininho_wifi_esp32s2
Franzininho WiFi MSC                               esp32:esp32:franzininho_wifi_msc_esp32s2
Fri3d Badge 2024 (ESP32-S3-WROOM-1)                esp32:esp32:fri3d_2024_esp32s3
Frog Board ESP32                                   esp32:esp32:frogboard
Geekble Mini ESP32-C3                              esp32:esp32:Geekble_ESP32C3
HONEYLemon                                         esp32:esp32:honeylemon
Heltec Capsule Sensor (V3)                         esp32:esp32:heltec_capsule_sensor_V3
Heltec E-Ink Driver                                esp32:esp32:heltec_ht_de01
Heltec Vision Master E213                          esp32:esp32:heltec_vision_master_e_213
Heltec Vision Master E290                          esp32:esp32:heltec_vision_master_e290
Heltec Vision Master T190                          esp32:esp32:heltec_vision_master_t190
Heltec WiFi Kit 32                                 esp32:esp32:heltec_wifi_kit_32
Heltec WiFi Kit 32(V3)                             esp32:esp32:heltec_wifi_kit_32_V3
Heltec WiFi LoRa 32                                esp32:esp32:heltec_wifi_lora_32
Heltec WiFi LoRa 32(V2)                            esp32:esp32:heltec_wifi_lora_32_V2
Heltec WiFi LoRa 32(V3)                            esp32:esp32:heltec_wifi_lora_32_V3
Heltec Wireless Bridge                             esp32:esp32:heltec_wireless_bridge
Heltec Wireless Mini Shell                         esp32:esp32:heltec_wireless_mini_shell
Heltec Wireless Paper                              esp32:esp32:heltec_wireless_paper
Heltec Wireless Shell (V3)                         esp32:esp32:heltec_wireless_shell_V3
Heltec Wireless Stick                              esp32:esp32:heltec_wireless_stick
Heltec Wireless Stick Lite / Wireless Shell        esp32:esp32:heltec_wireless_stick_lite
Heltec Wireless Stick Lite(V3)                     esp32:esp32:heltec_wireless_stick_lite_V3
Heltec Wireless Stick(V3)                          esp32:esp32:heltec_wireless_stick_V3
Heltec Wireless Tracker                            esp32:esp32:heltec_wireless_tracker
Hornbill ESP32 Dev                                 esp32:esp32:hornbill32dev
Hornbill ESP32 Minima                              esp32:esp32:hornbill32minima
Huidu HD-WF2                                       esp32:esp32:huidu_hd_wf2
Huidu HD-WF4                                       esp32:esp32:huidu_hd_wf4
IMBRIOS LOGSENS_V1P1                               esp32:esp32:imbrios-logsens-v1p1
INEX OpenKB                                        esp32:esp32:OpenKB
IOXESP32                                           esp32:esp32:ioxesp32
IOXESP32-C6                                        esp32:esp32:ioxesp32c6
IOXESP32PS                                         esp32:esp32:ioxesp32ps
IntoRobot Fig                                      esp32:esp32:intorobot-fig
KB32-FT                                            esp32:esp32:kb32
KITS ESP32 EDU                                     esp32:esp32:kits-edu
LOLIN C3 Mini                                      esp32:esp32:lolin_c3_mini
LOLIN C3 Pico                                      esp32:esp32:lolin_c3_pico
LOLIN D32                                          esp32:esp32:d32
LOLIN D32 PRO                                      esp32:esp32:d32_pro
LOLIN S2 Mini                                      esp32:esp32:lolin_s2_mini
LOLIN S2 PICO                                      esp32:esp32:lolin_s2_pico
LOLIN S3                                           esp32:esp32:lolin_s3
LOLIN S3 Mini                                      esp32:esp32:lolin_s3_mini
LOLIN S3 Mini Pro                                  esp32:esp32:lolin_s3_mini_pro
LOLIN S3 Pro                                       esp32:esp32:lolin_s3_pro
Labplus mPython                                    esp32:esp32:mPython
LilyGo T-Display                                   esp32:esp32:lilygo_t_display
LilyGo T-Display-S3                                esp32:esp32:lilygo_t_display_s3
LilyGo T-ETH-Lite                                  esp32:esp32:lilygo_t_eth_lite
LilyGo T-Watch-S3                                  esp32:esp32:twatchs3
LilyGo T-Watch-Ultra                               esp32:esp32:twatch_ultra
LilyGo T3-S3                                       esp32:esp32:lilygo_t3s3
Lion:Bit Dev Board                                 esp32:esp32:lionbit
Lion:Bit S3 STEM Dev Board                         esp32:esp32:lionbits3
LoPy                                               esp32:esp32:lopy
LoPy4                                              esp32:esp32:lopy4
M5Atom                                             esp32:esp32:m5stack_atom
M5AtomS3                                           esp32:esp32:m5stack_atoms3
M5Capsule                                          esp32:esp32:m5stack_capsule
M5Cardputer                                        esp32:esp32:m5stack_cardputer
M5Core                                             esp32:esp32:m5stack_core
M5Core2                                            esp32:esp32:m5stack_core2
M5CoreInk                                          esp32:esp32:m5stack_coreink
M5CoreS3                                           esp32:esp32:m5stack_cores3
M5Dial                                             esp32:esp32:m5stack_dial
M5DinMeter                                         esp32:esp32:m5stack_dinmeter
M5Fire                                             esp32:esp32:m5stack_fire
M5NanoC6                                           esp32:esp32:m5stack_nanoc6
M5Paper                                            esp32:esp32:m5stack_paper
M5PoECAM                                           esp32:esp32:m5stack_poe_cam
M5StampC3                                          esp32:esp32:m5stack_stamp_c3
M5StampPico                                        esp32:esp32:m5stack_stamp_pico
M5StampS3                                          esp32:esp32:m5stack_stamp_s3
M5Station                                          esp32:esp32:m5stack_station
M5StickC                                           esp32:esp32:m5stack_stickc
M5StickCPlus                                       esp32:esp32:m5stack_stickc_plus
M5StickCPlus2                                      esp32:esp32:m5stack_stickc_plus2
M5TimerCAM                                         esp32:esp32:m5stack_timer_cam
M5Tough                                            esp32:esp32:m5stack_tough
M5UnitCAM                                          esp32:esp32:m5stack_unit_cam
M5UnitCAMS3                                        esp32:esp32:m5stack_unit_cams3
MGBOT IOTIK 32A                                    esp32:esp32:mgbot-iotik32a
MGBOT IOTIK 32B                                    esp32:esp32:mgbot-iotik32b
MH ET LIVE ESP32DevKIT                             esp32:esp32:mhetesp32devkit
MH ET LIVE ESP32MiniKit                            esp32:esp32:mhetesp32minikit
MagicBit                                           esp32:esp32:magicbit
MakerGO ESP32 C3 SuperMini                         esp32:esp32:makergo_c3_supermini
Metro ESP-32                                       esp32:esp32:metro_esp-32
Microduino-CoreESP32                               esp32:esp32:CoreESP32
Namino Arancio                                     esp32:esp32:namino_arancio
Namino Bianco                                      esp32:esp32:namino_bianco
Namino Rosso                                       esp32:esp32:namino_rosso
Nano32                                             esp32:esp32:nano32
Nebula S3                                          esp32:esp32:nebulas3
Node32s                                            esp32:esp32:node32s
NodeMCU-32S                                        esp32:esp32:nodemcu-32s
Noduino Quantum                                    esp32:esp32:quantum
Nologo ESP32C3 Super Mini                          esp32:esp32:nologo_esp32c3_super_mini
Nologo ESP32S3 Pico                                esp32:esp32:nologo_esp32s3_pico
ODROID ESP32                                       esp32:esp32:odroid_esp32
OLIMEX ESP32-C3-DevKit-Lipo                        esp32:esp32:esp32c3-devkitlipo
OLIMEX ESP32-C6-EVB                                esp32:esp32:esp32c6-evb
OLIMEX ESP32-DevKit-LiPo                           esp32:esp32:esp32-devkitlipo
OLIMEX ESP32-EVB                                   esp32:esp32:esp32-evb
